fixedacidity,volatileacidity,residualsugar,chlorides,totalsulfurdioxide,density,pH,alcohol
7.3,0.22,13.7,0.049,189.0,0.9994,3.24,9.0
6.3,0.19,1.8,0.049,163.0,0.9924,3.31,10.3
7.4,0.19,12.8,0.053,229.0,0.9986,3.14,9.1
6.5,0.35,10.2,0.069,170.0,0.99692,3.18,9.4
5.6,0.34,1.3,0.031,68.0,0.9906,3.36,11.2
6.0,0.44,3.1,0.053,128.0,0.98982,3.22,12.7
6.5,0.26,1.4,0.04,184.0,0.99216,3.29,10.7
7.3,0.2,1.2,0.037,119.0,0.992,3.32,10.9
6.8,0.26,7.0,0.041,118.0,0.9939,3.25,10.8
6.7,0.48,1.4,0.021,121.0,0.9889,3.15,12.7
7.9,0.28,4.9,0.058,153.0,0.9966,3.27,9.7
7.2,0.25,14.4,0.055,205.0,0.9986,3.12,9.0
6.5,0.26,8.0,0.051,197.0,0.99536,3.18,9.5
6.6,0.29,9.0,0.053,178.0,0.99685,3.02,8.9
8.1,0.24,4.3,0.044,172.0,0.996,3.37,10.8
7.2,0.21,3.0,0.036,132.0,0.9928,3.25,11.0
7.2,0.26,13.6,0.05,162.0,0.998,3.03,8.8
7.3,0.43,4.6,0.028,114.0,0.991,3.23,13.2
7.6,0.13,9.3,0.062,126.0,0.9966,3.21,9.6
7.3,0.28,14.4,0.04,173.0,0.9994,3.28,9.0
7.1,0.29,16.0,0.036,201.0,0.99954,3.3,9.0
7.0,0.24,1.5,0.052,128.0,0.9941,3.41,10.4
6.8,0.27,7.3,0.054,200.0,0.99556,3.12,9.4
7.2,0.39,11.0,0.047,178.0,0.9976,3.16,8.7
7.7,0.38,2.0,0.038,152.0,0.9906,3.18,12.9
6.1,0.19,4.0,0.023,112.0,0.9923,3.37,11.6
6.3,0.28,11.5,0.036,150.0,0.99445,3.0,10.6
6.3,0.2,1.7,0.052,135.0,0.99374,3.8,10.8
6.7,0.23,2.1,0.046,96.0,0.9926,3.33,10.7
7.4,0.17,5.5,0.037,161.0,0.9935,3.05,11.5
7.3,0.25,13.1,0.05,200.0,0.9986,3.04,8.9
6.9,0.3,7.6,0.057,156.0,0.9962,3.43,11.0
6.1,0.23,9.8,0.055,134.0,0.99534,3.16,10.2
5.7,0.24,6.3,0.069,182.0,0.99391,3.11,9.73333333333333
8.0,0.24,1.5,0.047,129.0,0.9948,3.2,10.0
7.4,0.16,15.5,0.05,135.0,0.9984,2.9,8.7
7.1,0.32,1.5,0.034,84.0,0.9944,3.42,10.4
8.3,0.2,4.45,0.044,130.0,0.9924,3.25,12.2
6.4,0.22,9.1,0.044,127.0,0.99326,2.97,11.0
7.0,0.29,4.9,0.034,127.0,0.9928,3.17,10.8
7.8,0.32,10.4,0.031,194.0,0.99692,3.07,9.6
6.0,0.41,1.5,0.063,120.0,0.9932,3.21,9.2
8.7,0.23,13.4,0.044,169.0,0.99975,3.12,8.8
7.3,0.22,15.4,0.05,191.0,1.0,3.32,8.9
7.4,0.19,12.8,0.053,229.0,0.9986,3.14,9.1
6.6,0.42,2.8,0.034,85.0,0.99,3.28,13.4
7.6,0.47,13.0,0.239,220.0,0.9988,2.96,9.2
5.8,0.25,13.1,0.051,148.0,0.9972,3.29,9.3
5.8,0.32,2.6,0.027,123.0,0.98936,3.36,13.9
8.0,0.3,9.4,0.046,188.0,0.9964,3.14,10.0
5.8,0.275,5.4,0.043,149.0,0.9926,3.33,10.8
8.0,0.26,4.8,0.05,150.0,0.99437,3.13,10.0
7.3,0.19,1.4,0.051,107.0,0.99382,3.53,10.5
8.0,0.2,8.1,0.037,130.0,0.99379,3.1,11.8
6.6,0.12,1.4,0.039,131.0,0.99114,3.2,11.2
6.5,0.33,3.8,0.036,88.0,0.99028,3.25,12.5
6.3,0.32,11.1,0.039,198.0,0.9984,3.36,9.4
5.0,0.55,8.3,0.032,164.0,0.9918,3.53,12.5
7.5,0.29,9.9,0.058,115.0,0.99567,3.15,10.9
6.2,0.3,11.2,0.058,215.0,0.99656,3.19,9.4
5.7,0.45,1.1,0.051,197.0,0.9932,3.02,9.0
6.3,0.37,6.3,0.034,152.0,0.9921,3.29,11.6
7.0,0.26,1.4,0.037,120.0,0.9918,3.34,11.1
6.6,0.27,1.3,0.052,142.0,0.9951,3.42,10.0
6.0,0.16,1.6,0.042,106.0,0.9905,3.24,11.4
9.6,0.25,1.3,0.04,160.0,0.9938,2.94,10.5
6.9,0.24,6.1,0.027,112.0,0.99086,3.19,12.4
7.9,0.31,13.3,0.048,212.0,0.99942,3.47,10.0
6.3,0.695,12.9,0.056,252.0,0.99806,3.29,8.7
7.6,0.29,9.6,0.03,197.0,0.9938,3.13,12.3
7.4,0.16,1.2,0.055,150.0,0.9917,3.23,11.2
7.5,0.2,16.9,0.052,188.0,0.99944,3.09,9.3
8.9,0.3,4.6,0.032,148.0,0.99458,3.15,11.5
7.0,0.31,7.4,0.069,160.0,0.9954,3.13,9.8
5.7,0.25,12.2,0.041,127.0,0.99524,3.23,10.4
8.5,0.24,10.4,0.044,142.0,0.9974,3.2,10.0
6.5,0.22,1.1,0.064,191.0,0.99297,3.05,9.5
7.4,0.26,6.0,0.022,125.0,0.9928,3.13,11.5
7.9,0.18,1.2,0.033,72.0,0.9922,3.12,10.5
6.0,0.28,1.9,0.037,120.0,0.9933,3.16,10.6
6.2,0.3,1.1,0.032,111.0,0.9889,2.97,12.2
6.4,0.35,2.1,0.051,171.0,0.9932,3.16,9.5
5.2,0.285,5.15,0.035,138.0,0.9895,3.19,12.4
6.2,0.28,5.0,0.043,188.0,0.99318,3.23,10.8
7.7,0.44,11.2,0.031,167.0,0.9948,3.12,11.3
